value,description,Category
Brown / wholewheat bread,1 slice (± 42 g),Starch
Brown / wholewheat rolls,½ roll,Starch
Pita bread (15cm diameter),½ pita,Starch
Wrap,½ wrap,Starch
Crackerbread,3,Starch
Corn thins,3,Starch
Cream cracker,3,Starch
Finn crisp,4,Starch
Melba toast,4,Starch
Provita,4,Starch
Ryvita,3,Starch
Rice cake (10cm),2,Starch
Rice cracker,5,Starch
Cereals high fibre (All bran flakes/ High fibre bran),½ cup,Starch
"Cereals low fibre (Special K, Corn flakes, Frosties)",½ cup,Starch
Future Life – Zero (dry cereal),3 Tbs (45 mL),Starch
"Maize meal, stiff (cooked)",¼ cup,Starch
"Maize meal, soft (cooked)",½ cup,Starch
"Maize meal, crumbly (cooked)",¼ cup,Starch
Maltabella (cooked),½ cup,Starch
Muesli,¼ cup,Starch
Oats porridge (cooked),½ cup,Starch
Oats (raw)/ oat bran,¼ cup (25g),Starch
Pronutro (whole-wheat or flavours),¼ cup (25g),Starch
Weetbix / Nutrifix,1,Starch
Barley (cooked),⅓ cup,Starch
Bulgur wheat (cooked),⅓ cup,Starch
Couscous (cooked),⅓ cup,Starch
Cake flour,3 Tbs (45ml),Starch
Corn flour / maizena,20g (45ml),Starch
Maize rice (cooked),½ cup,Starch
Pasta (cooked),½ cup,Starch
Plain popcorn (air-popped),2 ½ cups,Starch
"Pretzels (not flavoured, thin sticks)",20 sticks,Starch
Quinoa (cooked),⅓ cup,Starch
Rice – Basmati/ brown/ white (cooked),½ cup,Starch
Spaghetti (cooked),½ cup,Starch
Samp (cooked),⅓ cup,Starch
Sago (cooked),½ cup,Starch
"Wheat rice, Pearled wheat (stampkoring) (cooked)",½ cup,Starch
Wholewheat flour,25g (50ml),Starch
Baby potato,3,Starch
Creamed sweetcorn,100 mL,Starch
Mealie cob,1 medium cob,Starch
Mealie kernels,½ cup,Starch
"Mixed vegetables with corn, peas, potato",1 cup,Starch
Mash Potato,½ cup,Starch
Potato,1 small (100g),Starch
"Pumpkin, butternut, Hubbard",1 cup,Starch
Parsnips,½ cup,Starch
Sweet potato,¼ cup (70g),Starch
"Dried beans, peas, lentils (cooked)",½ cup,Starch
Baked beans,⅓ cup,Starch
"Chickpeas (dried, cooked)",½ cup,Starch
Four bean mix,½ cup,Starch
Cup a Soup (regular),1 sachet,Starch
Cup a Soup (lite),2 sachets,Starch
Homemade soup (made with soup mix),1 cup,Starch
Homemade soup (made with legumes),1 cup,Starch
Sugar,1 Tbs,Sugar
Honey,1 Tbs,Sugar
Syrup,1 Tbs,Sugar
Jam,1 Tbs,Sugar
Sports drinks,1 cup,Sugar
"Coke, Fanta, Sprite, etc.",125 ml,Sugar
"Just Juice, Minute Maid",125 ml,Sugar
Fanta grape,100 ml,Sugar
Lime cordial concentrate,200 ml,Sugar
Oros concentrate,200 ml,Sugar
Hot chocolate powder (23g),40.5 tsp,Sugar
Ice tea,200–250 ml,Sugar
Energy drink,125 ml,Sugar
Jelly sweets,4,Sugar
Hard boiled sweets,5,Sugar
Toffee,5 (plus 1 fat),Sugar
Marshmallows,2,Sugar
Tomato sauce,3 Tbs,Sugar
Chutney,2 Tbs,Sugar
Mustard,1 Tbs,Sugar
Sweet chilli sauce,2 tsp,Sugar
Celery,free,Free
Cucumber,free,Free
Peppers (all colours),free,Free
Lettuce,free,Free
Mushroom,free,Free
Parsley,free,Free
Radish,free,Free
Leeks,free,Free
Tomato,free,Free
Cabbage (raw),0.5 cup,Free
Lemon Juice,free,Free
Vinegar,free,Free
Asparagus,1 cup raw or ½ cup cooked,Vegetables
Baby marrow,1 cup raw or ½ cup cooked,Vegetables
Bean sprouts,1 cup raw or ½ cup cooked,Vegetables
Beetroot,1 cup raw or ½ cup cooked,Vegetables
Brinjal,1 cup raw or ½ cup cooked,Vegetables
Broccoli,1 cup raw or ½ cup cooked,Vegetables
Brussels sprouts,1 cup raw or ½ cup cooked,Vegetables
Cabbage/Kale,1 cup raw or ½ cup cooked,Vegetables
Carrots,1 cup raw or ½ cup cooked,Vegetables
Cauliflower,1 cup raw or ½ cup cooked,Vegetables
Gem Squash,1 cup raw or ½ cup cooked,Vegetables
Green Beans,1 cup raw or ½ cup cooked,Vegetables
"Mixed vegetables (no corn, peas, potato)",1 cup raw or ½ cup cooked,Vegetables
Peas,1 cup raw or ½ cup cooked,Vegetables
Patty pans,1 cup raw or ½ cup cooked,Vegetables
Red cabbage,1 cup raw or ½ cup cooked,Vegetables
Rhubarb (unsweetened),1 cup raw or ½ cup cooked,Vegetables
Sauerkraut,1 cup raw or ½ cup cooked,Vegetables
Spinach,1 cup raw or ½ cup cooked,Vegetables
Sugar snap peas,1 cup raw or ½ cup cooked,Vegetables
Turnip,1 cup raw or ½ cup cooked,Vegetables
Onion,1 cup raw or ½ cup cooked,Vegetables
Waterblommetjie,1 cup raw or ½ cup cooked,Vegetables
Apple (raw),1 medium,Fruit
Apple (dried),4 rings,Fruit
