description,MET
"Bicycling, mountain, uphill, vigorous #1 #1​ (ID001)",14.0
"Bicycling, mountain, competitive racing #1 #1​ (ID002)",16.0
"Bicycling, BMX #1 #1​ (ID003)",8.5
"Bicycling, mountain, general #1 #1​ (ID004)",8.5
"Bicycling, <10 mph, leisure, to work or for pleasure #1 #1​ (ID005)",4.0
"Bicycling, to/from work, self selected pace #1 #1​ (ID006)",6.8
"Bicycling, on dirt or farm road, moderate pace #1 #1​ (ID007)",5.8
"Bicycling, general #1 #1​ (ID008)",7.0
"Bicycling, self-selected easy pace #1 #1​ (ID009)",4.3
"Bicycling, self-selected moderate pace #1 #1​ (ID010)",7.0
"Bicycling, self-selected vigorous pace #1 #1​ (ID011)",9.0
"Bicycling, leisure 5.5 mph #1 #1​ (ID012)",3.5
"Bicycling, leisure, 9.4 mph #1 #1​ (ID013)",5.8
"Bicycling, 10-11.9 mph, leisure, slow, light effort #1 #1​ (ID014)",6.8
"Bicycling, 12-13.9 mph, leisure, moderate effort #1 #1​ (ID015)",8.0
"Bicycling, 14-15.9 mph, racing or leisure, fast, vigorous effort #1 #1​ (ID016)",10.0
"Bicycling, 16-19 mph, racing/not drafting or >19 mph very fast #1 #1​ (ID017)",12.0
"Bicycling, >20 mph, racing, not drafting #1 #1​ (ID018)",16.8
"Bicycling, 12 mph, seated, hands on brake hoods 80 rpm #1 #1​ (ID019)",8.5
"Bicycling, 12 mph, standing, hands on brake hoods, 60 rpm #1 #1​ (ID020)",9.0
Unicycling #1 #1​ (ID021),5.0
E-bike #1 #1​ (ID022),6.8
E-bike #2 #1​ (ID023),6.0
E-bike #3 #1​ (ID024),4.0
"Bicycling, stationary, general #1 #1​ (ID025)",6.8
"Bicycling, stationary, 25-30 watts, very light to light effort #1 #1​ (ID026)",3.5
"Bicycling, stationary, 50 watts, light effort #1 #1​ (ID027)",4.0
"Bicycling, stationary, 60 watts, light to moderate effort #1 #1​ (ID028)",5.0
"Bicycling, stationary, 70-80 watts #1 #1​ (ID029)",5.8
"Bicycling, stationary, 90-100 watts,  moderate to vigorous #1 #1​ (ID030)",6.0
"Bicycling, stationary, 101-125 watts #1 #1​ (ID031)",6.8
"Bicycling, stationary, 126-150 watts #1 #1​ (ID032)",8.0
"Bicycling, stationary, 151-199 watts #1 #1​ (ID033)",10.3
"Bicycling, stationary, 200-229 watts, vigorous #1 #1​ (ID034)",10.8
"Bicycling, stationary, 230-250 watts, very vigorous #1 #1​ (ID035)",12.5
"Bicycling, stationary, 270-305 watts, very vigorous #1 #1​ (ID036)",13.8
"Bicycling, stationary, >325 watts, very vigorous #1 #1​ (ID037)",16.3
"Bicycling, concentric only, 100 W #1 #1​ (ID038)",5.5
"Bicycling, concentric only, 200 W #1 #1​ (ID039)",11.0
"Bicycling, eccentric only, 100 to 149 W #1 #1​ (ID040)",2.3
"Bicycling, eccentric only, 200 W #1 #1​ (ID041)",4.0
"Bicycling, stationary, RPM/Spin bike class #1 #1​ (ID042)",9.0
"Bicycling, interactive virtual cycling, indoor cycle ergometer #1 #1​ (ID043)",8.8
"Bicycling, high intensity interval training #1 #1​ (ID044)",8.8
"Aerobic, general #1 #1​ (ID045)",7.3
"Aerobic, step, with 4-inch step #1 #1​ (ID046)",5.5
"Aerobic, step, with 6 – 8 inch step #1 #1​ (ID047)",7.3
"Aerobic, step, with 10 – 12 inch step #1 #1​ (ID048)",9.0
"Bench step class, general #1 #1​ (ID049)",7.8
"Aerobic dance, low impact, moderate effort #1 #1​ (ID050)",4.8
"Aerobic dance, high impact, vigorous effort #1 #1​ (ID051)",8.0
Aerobic dance wearing 10-15 lb weights #1 #1​ (ID052),10.0
"Army type obstacle course exercise, boot camp training program #1 #1​ (ID053)",5.0
Calisthenics #1 #1​ (ID054),7.5
Calisthenics #2 #1​ (ID055),3.8
Calisthenics #3 #1​ (ID056),2.8
"Calisthenics, light or moderate effort, general #1 #1​ (ID057)",3.5
"Circuit training, body weight exercises #1 #1​ (ID058)",6.0
"Circuit training, light effort #1 #1​ (ID059)",3.5
"Circuit training, moderate effort #1 #1​ (ID060)",5.0
"Circuit training, cardio and kettlebells, vigorous intensity #1 #1​ (ID061)",7.5
Curves™ exercise routines in women #1 #1​ (ID062),3.5
"Elliptical trainer, moderate effort #1 #1​ (ID063)",5.0
"Elliptical trainer, vigorous effort #1 #1​ (ID064)",9.0
Resistance #1 #1​ (ID065),6.0
Resistance #2 #1​ (ID066),5.0
Resistance #3 #1​ (ID067),3.5
"Resistance Training, circuit, reciprocol supersets, peripheral hear action training #1 #1​ (ID068)",5.8
Body weight resistance exercises #1 #1​ (ID069),3.0
Body weight resistance exercises #2 #1​ (ID070),6.5
Kettle bell swings #1 #1​ (ID071),9.8
"Health club exercise, general #1 #1​ (ID072)",5.5
"Health club exercise classes general, gym/weight training combined in one visit #1 #1​ (ID073)",5.0
"Health club exercise, conditioning classes #1 #1​ (ID074)",7.8
"Home exercise, general #1 #1​ (ID075)",3.8
"Stair treadmill ergometer, general #1 #1​ (ID076)",9.3
