value,description
Skim milk,1 cup (250ml)
Skim milk powder,1 cup (± 25 g)
Fat free artificially sweetened yoghurt,¾ cup (175 ml)
Fat free sweetened yoghurt,100 ml
Low fat / 2% milk,1 cup (250ml)
"Low fat yoghurt, plain",¾ cup (175ml)
"Buttermilk, low fat",1 cup (250ml)
"Evaporated milk, lite",½ cup
"Low fat yoghurt, sweetened",100ml
"Drinking yoghurt, low fat sweetened",100ml
"Flavoured milk, low fat, sweetened",150ml
Full cream milk,1 cup (250ml)
"Milk powder, full cream",1 cup (± 25g)
"Amasi, full cream",1 cup (250ml)
Evaporated milk,½ cup
"Yoghurt, full/double cream",200ml
"Yoghurt, full/double cream, sweetened",100ml
