value,description
Asparagus,1 cup raw or ½ cup cooked
Baby marrow,1 cup raw or ½ cup cooked
Bean sprouts,1 cup raw or ½ cup cooked
Beetroot,1 cup raw or ½ cup cooked
Brinjal,1 cup raw or ½ cup cooked
Broccoli,1 cup raw or ½ cup cooked
Brussels sprouts,1 cup raw or ½ cup cooked
Cabbage/Kale,1 cup raw or ½ cup cooked
Carrots,1 cup raw or ½ cup cooked
Cauliflower,1 cup raw or ½ cup cooked
Gem Squash,1 cup raw or ½ cup cooked
Green Beans,1 cup raw or ½ cup cooked
"Mixed vegetables (no corn, peas, potato)",1 cup raw or ½ cup cooked
Peas,1 cup raw or ½ cup cooked
Patty pans,1 cup raw or ½ cup cooked
Red cabbage,1 cup raw or ½ cup cooked
Rhubarb (unsweetened),1 cup raw or ½ cup cooked
Sauerkraut,1 cup raw or ½ cup cooked
Spinach,1 cup raw or ½ cup cooked
Sugar snap peas,1 cup raw or ½ cup cooked
Turnip,1 cup raw or ½ cup cooked
Onion,1 cup raw or ½ cup cooked
Waterblommetjie,1 cup raw or ½ cup cooked
